hyp,src,label,hyp_normalized,src_normalized,hyp_sentences,src_sentences,hyp_tokens,src_tokens
He's got a fianc.,He's got a girlfriend.,Hallucination,he is got a fianc,he is got a girlfriend,['he is got a fianc'],['he is got a girlfriend'],"[['he', 'is', 'got', 'a', 'fianc']]","[['he', 'is', 'got', 'a', 'girlfriend']]"
I-I-I don't want to kill anyone.,I don't want to kill anybody.,Not Hallucination,iii do not want to kill anyone,i do not want to kill anybody,['iii do not want to kill anyone'],['i do not want to kill anybody'],"[['iii', 'do', 'not', 'want', 'to', 'kill', 'anyone']]","[['i', 'do', 'not', 'want', 'to', 'kill', 'anybody']]"
I have to finish him off.,I have to kill him.,Hallucination,i have to finish him off,i have to kill him,['i have to finish him off'],['i have to kill him'],"[['i', 'have', 'to', 'finish', 'him', 'off']]","[['i', 'have', 'to', 'kill', 'him']]"
She a nice?,Is she nice?,Hallucination,she a nice,is she nice,['she a nice'],['is she nice'],"[['she', 'a', 'nice']]","[['is', 'she', 'nice']]"
It's my hobbys.,It's my hobby.,Hallucination,it is my hobbys,it is my hobby,['it is my hobbys'],['it is my hobby'],"[['it', 'is', 'my', 'hobbys']]","[['it', 'is', 'my', 'hobby']]"
It's my hat-hatt.,It's my hat.,Hallucination,it is my hathatt,it is my hat,['it is my hathatt'],['it is my hat'],"[['it', 'is', 'my', 'hathatt']]","[['it', 'is', 'my', 'hat']]"
"Hello, walt.","Hello, Walt.",Not Hallucination,hello walt,hello walt,['hello walt'],['hello walt'],"[['hello', 'walt']]","[['hello', 'walt']]"
IT'S A CHICKET.,It's a cat.,Hallucination,it is a chicket,it is a cat,['it is a chicket'],['it is a cat'],"[['it', 'is', 'a', 'chicket']]","[['it', 'is', 'a', 'cat']]"
You ain't eating.,You're not eating.,Not Hallucination,you are not eating,you are not eating,['you are not eating'],['you are not eating'],"[['you', 'are', 'not', 'eating']]","[['you', 'are', 'not', 'eating']]"
- He can't be dying.,He can't die.,Hallucination, he cannot be dying,he cannot die,[' he cannot be dying'],['he cannot die'],"[['he', 'can', 'not', 'be', 'dying']]","[['he', 'can', 'not', 'die']]"
Like my dad's.,Like my dad.,Not Hallucination,like my dads,like my dad,['like my dads'],['like my dad'],"[['like', 'my', 'dads']]","[['like', 'my', 'dad']]"
"Thanks, billy.","Thank you, Billy.",Not Hallucination,thanks billy,thank you billy,['thanks billy'],['thank you billy'],"[['thanks', 'billy']]","[['thank', 'you', 'billy']]"
Know who's said that?,Do you know who said that?,Not Hallucination,know who is said that,do you know who said that,['know who is said that'],['do you know who said that'],"[['know', 'who', 'is', 'said', 'that']]","[['do', 'you', 'know', 'who', 'said', 'that']]"
Where'd you hear that name from?,Where'd you hear that name?,Not Hallucination,where did you hear that name from,where did you hear that name,['where did you hear that name from'],['where did you hear that name'],"[['where', 'did', 'you', 'hear', 'that', 'name', 'from']]","[['where', 'did', 'you', 'hear', 'that', 'name']]"
I'm canadian.,I'm Canadian.,Not Hallucination,i am canadian,i am canadian,['i am canadian'],['i am canadian'],"[['i', 'am', 'canadian']]","[['i', 'am', 'canadian']]"
I'm a gentlemanly.,I'm a gentleman.,Hallucination,i am a gentlemanly,i am a gentleman,['i am a gentlemanly'],['i am a gentleman'],"[['i', 'am', 'a', 'gentlemanly']]","[['i', 'am', 'a', 'gentleman']]"
"Thank you, ed.","Thank you, Ed.",Not Hallucination,thank you ed,thank you ed,['thank you ed'],['thank you ed'],"[['thank', 'you', 'ed']]","[['thank', 'you', 'ed']]"
He's gonna find us.,He'll find us.,Hallucination,he is going to find us,he will find us,['he is going to find us'],['he will find us'],"[['he', 'is', 'going', 'to', 'find', 'us']]","[['he', 'will', 'find', 'us']]"
It's barbaric-like.,It's barbaric.,Hallucination,it is barbariclike,it is barbaric,['it is barbariclike'],['it is barbaric'],"[['it', 'is', 'barbariclike']]","[['it', 'is', 'barbaric']]"
I ain't working 'for you.,I do not work for you.,Hallucination,i are not working for you,i do not work for you,['i are not working for you'],['i do not work for you'],"[['i', 'are', 'not', 'working', 'for', 'you']]","[['i', 'do', 'not', 'work', 'for', 'you']]"
"Thank you, stan.","Thank you, Stan.",Not Hallucination,thank you stan,thank you stan,['thank you stan'],['thank you stan'],"[['thank', 'you', 'stan']]","[['thank', 'you', 'stan']]"
T- ⁇ ,T-Tate.,Hallucination,t  ,ttate,['t'],['ttate'],[['t']],[['ttate']]
"Global warming, global warming.",Global warming.,Hallucination,global warming global warming,global warming,['global warming global warming'],['global warming'],"[['global', 'warming', 'global', 'warming']]","[['global', 'warming']]"
She's very infirmary.,She's very ill.,Hallucination,she is very infirmary,she is very ill,['she is very infirmary'],['she is very ill'],"[['she', 'is', 'very', 'infirmary']]","[['she', 'is', 'very', 'ill']]"
She's laughin.,She's laughing.,Hallucination,she is laughin,she is laughing,['she is laughin'],['she is laughing'],"[['she', 'is', 'laughin']]","[['she', 'is', 'laughing']]"
I saw you dyin '.,I saw you die.,Hallucination,i saw you dyin ,i saw you die,['i saw you dyin'],['i saw you die'],"[['i', 'saw', 'you', 'dyin']]","[['i', 'saw', 'you', 'die']]"
"James, I'm sorry.","I'm sorry, James.",Hallucination,james i am sorry,i am sorry james,['james i am sorry'],['i am sorry james'],"[['james', 'i', 'am', 'sorry']]","[['i', 'am', 'sorry', 'james']]"
"Hey, brotha.","Hey, Brenda.",Hallucination,hey brotha,hey brenda,['hey brotha'],['hey brenda'],"[['hey', 'brotha']]","[['hey', 'brenda']]"
But at what costs?,But at what cost?,Hallucination,but at what costs,but at what cost,['but at what costs'],['but at what cost'],"[['but', 'at', 'what', 'costs']]","[['but', 'at', 'what', 'cost']]"
"Thank you, annie.","Thank you, Annie.",Not Hallucination,thank you annie,thank you annie,['thank you annie'],['thank you annie'],"[['thank', 'you', 'annie']]","[['thank', 'you', 'annie']]"
Do not understate him.,Do not underestimate him.,Hallucination,do not understate him,do not underestimate him,['do not understate him'],['do not underestimate him'],"[['do', 'not', 'understate', 'him']]","[['do', 'not', 'underestimate', 'him']]"
Need proof.,I need evidence.,Hallucination,need proof,i need evidence,['need proof'],['i need evidence'],"[['need', 'proof']]","[['i', 'need', 'evidence']]"
~ Do you know when she'll be back ~,Do you know when she'll be back?,Hallucination, do you know when she will be back ,do you know when she will be back,[' do you know when she will be back'],['do you know when she will be back'],"[['do', 'you', 'know', 'when', 'she', 'will', 'be', 'back']]","[['do', 'you', 'know', 'when', 'she', 'will', 'be', 'back']]"
♪ No one likes you ♪,No one likes you.,Hallucination, no one likes you ,no one likes you,[' no one likes you'],['no one likes you'],"[['no', 'one', 'likes', 'you']]","[['no', 'one', 'likes', 'you']]"
Bankrupting.,Bankrupt.,Hallucination,bankrupting,bankrupt,['bankrupting'],['bankrupt'],[['bankrupting']],[['bankrupt']]
"I'm 28 years old, I'm 28 years old",I'm 28.,Hallucination,i am 28 years old i am 28 years old,i am 28,['i am 28 years old i am 28 years old'],['i am 28'],"[['i', 'am', '28', 'years', 'old', 'i', 'am', '28', 'years', 'old']]","[['i', 'am', '28']]"
He's on the lam running.,He's on the run.,Hallucination,he is on the lam running,he is on the run,['he is on the lam running'],['he is on the run'],"[['he', 'is', 'on', 'the', 'lam', 'running']]","[['he', 'is', 'on', 'the', 'run']]"
"Guys, are we safe in here?",Are we safe here?,Hallucination,guys are we safe in here,are we safe here,['guys are we safe in here'],['are we safe here'],"[['guys', 'are', 'we', 'safe', 'in', 'here']]","[['are', 'we', 'safe', 'here']]"
I'm not an ogre.,I'm not an animal.,Hallucination,i am not an ogre,i am not an animal,['i am not an ogre'],['i am not an animal'],"[['i', 'am', 'not', 'an', 'ogre']]","[['i', 'am', 'not', 'an', 'animal']]"
You sleepin here?,Did you sleep here?,Hallucination,you sleepin here,did you sleep here,['you sleepin here'],['did you sleep here'],"[['you', 'sleepin', 'here']]","[['did', 'you', 'sleep', 'here']]"
Slight faster.,A little faster.,Hallucination,slight faster,a little faster,['slight faster'],['a little faster'],"[['slight', 'faster']]","[['a', 'little', 'faster']]"
What kind of music d'you like '?,What kind of music do you Iike?,Hallucination,what kind of music dyou like ,what kind of music do you iike,['what kind of music dyou like'],['what kind of music do you iike'],"[['what', 'kind', 'of', 'music', 'dyou', 'like']]","[['what', 'kind', 'of', 'music', 'do', 'you', 'iike']]"
"Hello, Dianes.","Hello, Diane.",Hallucination,hello dianes,hello diane,['hello dianes'],['hello diane'],"[['hello', 'dianes']]","[['hello', 'diane']]"
I've been bitten.,I got bit.,Hallucination,i have been bitten,i got bit,['i have been bitten'],['i got bit'],"[['i', 'have', 'been', 'bitten']]","[['i', 'got', 'bit']]"
kal-ei.,Kal-EI.,Not Hallucination,kalei,kalei,['kalei'],['kalei'],[['kalei']],[['kalei']]
Where's my folks?,Where's my family?,Hallucination,where is my folks,where is my family,['where is my folks'],['where is my family'],"[['where', 'is', 'my', 'folks']]","[['where', 'is', 'my', 'family']]"
You're grieving.,You're sad.,Not Hallucination,you are grieving,you are sad,['you are grieving'],['you are sad'],"[['you', 'are', 'grieving']]","[['you', 'are', 'sad']]"
Do you think he 's dead?,Do you think he's dead?,Not Hallucination,do you think he s dead,do you think he is dead,['do you think he s dead'],['do you think he is dead'],"[['do', 'you', 'think', 'he', 's', 'dead']]","[['do', 'you', 'think', 'he', 'is', 'dead']]"
Ninety-nine-five.,95.,Hallucination,ninetyninefive,95,['ninetyninefive'],['95'],[['ninetyninefive']],[['95']]
At the mortuary..,At the morgue.,Not Hallucination,at the mortuary,at the morgue,['at the mortuary'],['at the morgue'],"[['at', 'the', 'mortuary']]","[['at', 'the', 'morgue']]"
What motel?,What hotel?,Not Hallucination,what motel,what hotel,['what motel'],['what hotel'],"[['what', 'motel']]","[['what', 'hotel']]"
She's a hard worker,She's a hard worker.,Not Hallucination,she is a hard worker,she is a hard worker,['she is a hard worker'],['she is a hard worker'],"[['she', 'is', 'a', 'hard', 'worker']]","[['she', 'is', 'a', 'hard', 'worker']]"
"C'mon in, it's open.","Come in, it's open.",Not Hallucination,cmon in it is open,come in it is open,['cmon in it is open'],['come in it is open'],"[['cmon', 'in', 'it', 'is', 'open']]","[['come', 'in', 'it', 'is', 'open']]"
"Thankyou, Mary.","Thank you, Mary.",Not Hallucination,thankyou mary,thank you mary,['thankyou mary'],['thank you mary'],"[['thankyou', 'mary']]","[['thank', 'you', 'mary']]"
On sundays?,On Sunday?,Not Hallucination,on sundays,on sunday,['on sundays'],['on sunday'],"[['on', 'sundays']]","[['on', 'sunday']]"
"Hello, Victoria.","Hello, Victoria.",Not Hallucination,hello victoria,hello victoria,['hello victoria'],['hello victoria'],"[['hello', 'victoria']]","[['hello', 'victoria']]"
I'm not a traitor.,I'm not a traitor.,Not Hallucination,i am not a traitor,i am not a traitor,['i am not a traitor'],['i am not a traitor'],"[['i', 'am', 'not', 'a', 'traitor']]","[['i', 'am', 'not', 'a', 'traitor']]"
You can sleep on the soff.,You can sleep on the couch.,Hallucination,you can sleep on the soff,you can sleep on the couch,['you can sleep on the soff'],['you can sleep on the couch'],"[['you', 'can', 'sleep', 'on', 'the', 'soff']]","[['you', 'can', 'sleep', 'on', 'the', 'couch']]"
It ain't love.,It's not love.,Not Hallucination,it are not love,it is not love,['it are not love'],['it is not love'],"[['it', 'are', 'not', 'love']]","[['it', 'is', 'not', 'love']]"
I baked tea.,I made some tea.,Hallucination,i baked tea,i made some tea,['i baked tea'],['i made some tea'],"[['i', 'baked', 'tea']]","[['i', 'made', 'some', 'tea']]"
Ηe's American.,He's American.,Not Hallucination,ηes american,he is american,['ηes american'],['he is american'],"[['ηes', 'american']]","[['he', 'is', 'american']]"
We're getting a divorcee.,We're getting a divorce.,Not Hallucination,we are getting a divorcee,we are getting a divorce,['we are getting a divorcee'],['we are getting a divorce'],"[['we', 'are', 'getting', 'a', 'divorcee']]","[['we', 'are', 'getting', 'a', 'divorce']]"
Jørgen.,Jorgen.,Not Hallucination,jørgen,jorgen,['jørgen'],['jorgen'],[['jørgen']],[['jorgen']]
"Sorry, tony.","I'm sorry, Tony.",Not Hallucination,sorry tony,i am sorry tony,['sorry tony'],['i am sorry tony'],"[['sorry', 'tony']]","[['i', 'am', 'sorry', 'tony']]"
- They're going to come find you.,They're going to find you.,Hallucination, they are going to come find you,they are going to find you,[' they are going to come find you'],['they are going to find you'],"[['they', 'are', 'going', 'to', 'come', 'find', 'you']]","[['they', 'are', 'going', 'to', 'find', 'you']]"
Where's Claire?,Where's Claire?,Not Hallucination,where is claire,where is claire,['where is claire'],['where is claire'],"[['where', 'is', 'claire']]","[['where', 'is', 'claire']]"
He's got a high-pitched fever.,He's got a fever.,Not Hallucination,he is got a highpitched fever,he is got a fever,['he is got a highpitched fever'],['he is got a fever'],"[['he', 'is', 'got', 'a', 'highpitched', 'fever']]","[['he', 'is', 'got', 'a', 'fever']]"
We're all scared..,We're all scared.,Not Hallucination,we are all scared,we are all scared,['we are all scared'],['we are all scared'],"[['we', 'are', 'all', 'scared']]","[['we', 'are', 'all', 'scared']]"
She doesn't hate ya.,She does not hate you.,Hallucination,she does not hate ya,she does not hate you,['she does not hate ya'],['she does not hate you'],"[['she', 'does', 'not', 'hate', 'ya']]","[['she', 'does', 'not', 'hate', 'you']]"
I'm that guy.,I'm him.,Hallucination,i am that guy,i am him,['i am that guy'],['i am him'],"[['i', 'am', 'that', 'guy']]","[['i', 'am', 'him']]"
I don't have a lifetime,I don't have a life.,Hallucination,i do not have a lifetime,i do not have a life,['i do not have a lifetime'],['i do not have a life'],"[['i', 'do', 'not', 'have', 'a', 'lifetime']]","[['i', 'do', 'not', 'have', 'a', 'life']]"
I was 13-year-old,I was 13.,Hallucination,i was 13yearold,i was 13,['i was 13yearold'],['i was 13'],"[['i', 'was', '13yearold']]","[['i', 'was', '13']]"
He doesn't believe me.,He doesn't believe me.,Not Hallucination,he does not believe me,he does not believe me,['he does not believe me'],['he does not believe me'],"[['he', 'does', 'not', 'believe', 'me']]","[['he', 'does', 'not', 'believe', 'me']]"
I'll call you in the mornin '.,I'll call you in the morning.,Not Hallucination,i will call you in the mornin ,i will call you in the morning,['i will call you in the mornin'],['i will call you in the morning'],"[['i', 'will', 'call', 'you', 'in', 'the', 'mornin']]","[['i', 'will', 'call', 'you', 'in', 'the', 'morning']]"
