hyp,tgt,label,hyp_normalized,tgt_normalized,hyp_sentences,tgt_sentences,hyp_tokens,tgt_tokens
You don't understand that?,"You don't understand it, do you?",Hallucination,you do not understand that,you do not understand it do you,['you do not understand that'],['you do not understand it do you'],"[['you', 'do', 'not', 'understand', 'that']]","[['you', 'do', 'not', 'understand', 'it', 'do', 'you']]"
Christmas is celebrated on the twenty-fifth of December.,Christmas is celebrated on December 25th.,Hallucination,christmas is celebrated on the twentyfifth of december,christmas is celebrated on december 25th,['christmas is celebrated on the twentyfifth of december'],['christmas is celebrated on december 25th'],"[['christmas', 'is', 'celebrated', 'on', 'the', 'twentyfifth', 'of', 'december']]","[['christmas', 'is', 'celebrated', 'on', 'december', '25th']]"
It was not a complete surprise.,It wasn't a complete surprise.,Not Hallucination,it was not a complete surprise,it was not a complete surprise,['it was not a complete surprise'],['it was not a complete surprise'],"[['it', 'was', 'not', 'a', 'complete', 'surprise']]","[['it', 'was', 'not', 'a', 'complete', 'surprise']]"
"He's not 30 yet, but his hair's dwindling.",He's not even 30 and he has a receding hairline.,Hallucination,he is not 30 yet but his hairs dwindling,he is not even 30 and he has a receding hairline,['he is not 30 yet but his hairs dwindling'],['he is not even 30 and he has a receding hairline'],"[['he', 'is', 'not', '30', 'yet', 'but', 'his', 'hairs', 'dwindling']]","[['he', 'is', 'not', 'even', '30', 'and', 'he', 'has', 'a', 'receding', 'hairline']]"
Tom's under the fly.,Tom is tipsy.,Hallucination,toms under the fly,tom is tipsy,['toms under the fly'],['tom is tipsy'],"[['toms', 'under', 'the', 'fly']]","[['tom', 'is', 'tipsy']]"
He will surely come.,He'll come for sure.,Not Hallucination,he will surely come,he will come for sure,['he will surely come'],['he will come for sure'],"[['he', 'will', 'surely', 'come']]","[['he', 'will', 'come', 'for', 'sure']]"
Why are everyone so alarmed?,Why's everybody so uptight?,Hallucination,why are everyone so alarmed,why is everybody so uptight,['why are everyone so alarmed'],['why is everybody so uptight'],"[['why', 'are', 'everyone', 'so', 'alarmed']]","[['why', 'is', 'everybody', 'so', 'uptight']]"
Does Tom have relatives living in Boston?,Does Tom have any relatives living in Boston?,Not Hallucination,does tom have relatives living in boston,does tom have any relatives living in boston,['does tom have relatives living in boston'],['does tom have any relatives living in boston'],"[['does', 'tom', 'have', 'relatives', 'living', 'in', 'boston']]","[['does', 'tom', 'have', 'any', 'relatives', 'living', 'in', 'boston']]"
I'm such a bad guy.,I'm such an unlucky guy.,Hallucination,i am such a bad guy,i am such an unlucky guy,['i am such a bad guy'],['i am such an unlucky guy'],"[['i', 'am', 'such', 'a', 'bad', 'guy']]","[['i', 'am', 'such', 'an', 'unlucky', 'guy']]"
Tom thinks we shouldn't have done that.,"According to Tom, we shouldn't have done that.",Not Hallucination,tom thinks we should not have done that,according to tom we should not have done that,['tom thinks we should not have done that'],['according to tom we should not have done that'],"[['tom', 'thinks', 'we', 'should', 'not', 'have', 'done', 'that']]","[['according', 'to', 'tom', 'we', 'should', 'not', 'have', 'done', 'that']]"
Write to him that we are waiting for him near the entrance.,Text him that we're waiting for him near the entrance.,Not Hallucination,write to him that we are waiting for him near the entrance,text him that we are waiting for him near the entrance,['write to him that we are waiting for him near the entrance'],['text him that we are waiting for him near the entrance'],"[['write', 'to', 'him', 'that', 'we', 'are', 'waiting', 'for', 'him', 'near', 'the', 'entrance']]","[['text', 'him', 'that', 'we', 'are', 'waiting', 'for', 'him', 'near', 'the', 'entrance']]"
Can I turn on the light?,May I turn on the light?,Not Hallucination,can i turn on the light,may i turn on the light,['can i turn on the light'],['may i turn on the light'],"[['can', 'i', 'turn', 'on', 'the', 'light']]","[['may', 'i', 'turn', 'on', 'the', 'light']]"
How do you know I didn't do that?,How do you know I didn't do it?,Not Hallucination,how do you know i did not do that,how do you know i did not do it,['how do you know i did not do that'],['how do you know i did not do it'],"[['how', 'do', 'you', 'know', 'i', 'did', 'not', 'do', 'that']]","[['how', 'do', 'you', 'know', 'i', 'did', 'not', 'do', 'it']]"
I'm forced to wait.,I'm obliged to wait.,Not Hallucination,i am forced to wait,i am obliged to wait,['i am forced to wait'],['i am obliged to wait'],"[['i', 'am', 'forced', 'to', 'wait']]","[['i', 'am', 'obliged', 'to', 'wait']]"
We don't need that kind of help.,We don't need that kind of help.,Not Hallucination,we do not need that kind of help,we do not need that kind of help,['we do not need that kind of help'],['we do not need that kind of help'],"[['we', 'do', 'not', 'need', 'that', 'kind', 'of', 'help']]","[['we', 'do', 'not', 'need', 'that', 'kind', 'of', 'help']]"
I explained it to her.,I've explained that to her.,Not Hallucination,i explained it to her,i have explained that to her,['i explained it to her'],['i have explained that to her'],"[['i', 'explained', 'it', 'to', 'her']]","[['i', 'have', 'explained', 'that', 'to', 'her']]"
You need to practice.,You need to practice.,Not Hallucination,you need to practice,you need to practice,['you need to practice'],['you need to practice'],"[['you', 'need', 'to', 'practice']]","[['you', 'need', 'to', 'practice']]"
No one could help them.,No one was able to help them.,Not Hallucination,no one could help them,no one was able to help them,['no one could help them'],['no one was able to help them'],"[['no', 'one', 'could', 'help', 'them']]","[['no', 'one', 'was', 'able', 'to', 'help', 'them']]"
I'd like you to go.,I'd like you to go.,Not Hallucination,i would like you to go,i would like you to go,['i would like you to go'],['i would like you to go'],"[['i', 'would', 'like', 'you', 'to', 'go']]","[['i', 'would', 'like', 'you', 'to', 'go']]"
Tom will fix it.,Tom will fix it.,Not Hallucination,tom will fix it,tom will fix it,['tom will fix it'],['tom will fix it'],"[['tom', 'will', 'fix', 'it']]","[['tom', 'will', 'fix', 'it']]"
Tom says he never did.,Tom says that he's never done that.,Not Hallucination,tom says he never did,tom says that he is never done that,['tom says he never did'],['tom says that he is never done that'],"[['tom', 'says', 'he', 'never', 'did']]","[['tom', 'says', 'that', 'he', 'is', 'never', 'done', 'that']]"
“Everyone has flaws.” – “Not me.”,"Everybody has flaws. ""I don't.""",Hallucination,everyone has flaws  not me,everybody has flaws i do not,['everyone has flaws  not me'],['everybody has flaws i do not'],"[['everyone', 'has', 'flaws', 'not', 'me']]","[['everybody', 'has', 'flaws', 'i', 'do', 'not']]"
"If you need tomatoes, go to the vegetable department.","If you want tomatoes, go to the fruit and vegetable section.",Hallucination,if you need tomatoes go to the vegetable department,if you want tomatoes go to the fruit and vegetable section,['if you need tomatoes go to the vegetable department'],['if you want tomatoes go to the fruit and vegetable section'],"[['if', 'you', 'need', 'tomatoes', 'go', 'to', 'the', 'vegetable', 'department']]","[['if', 'you', 'want', 'tomatoes', 'go', 'to', 'the', 'fruit', 'and', 'vegetable', 'section']]"
I'm doing a squash.,I'm making a birdhouse.,Hallucination,i am doing a squash,i am making a birdhouse,['i am doing a squash'],['i am making a birdhouse'],"[['i', 'am', 'doing', 'a', 'squash']]","[['i', 'am', 'making', 'a', 'birdhouse']]"
You're taking everything on the fly.,You learn quickly.,Hallucination,you are taking everything on the fly,you learn quickly,['you are taking everything on the fly'],['you learn quickly'],"[['you', 'are', 'taking', 'everything', 'on', 'the', 'fly']]","[['you', 'learn', 'quickly']]"
"In the end, he became afraid of you.",He ended up being afraid of you.,Not Hallucination,in the end he became afraid of you,he ended up being afraid of you,['in the end he became afraid of you'],['he ended up being afraid of you'],"[['in', 'the', 'end', 'he', 'became', 'afraid', 'of', 'you']]","[['he', 'ended', 'up', 'being', 'afraid', 'of', 'you']]"
Someone's waiting for you.,There's someone waiting for you.,Not Hallucination,someone is waiting for you,there is someone waiting for you,['someone is waiting for you'],['there is someone waiting for you'],"[['someone', 'is', 'waiting', 'for', 'you']]","[['there', 'is', 'someone', 'waiting', 'for', 'you']]"
These are their horses.,These horses are theirs.,Not Hallucination,these are their horses,these horses are theirs,['these are their horses'],['these horses are theirs'],"[['these', 'are', 'their', 'horses']]","[['these', 'horses', 'are', 'theirs']]"
Let's call her.,Let's call her.,Not Hallucination,let us call her,let us call her,['let us call her'],['let us call her'],"[['let', 'us', 'call', 'her']]","[['let', 'us', 'call', 'her']]"
Tom bought a lot of souvenirs.,Tom bought lots of souvenirs.,Not Hallucination,tom bought a lot of souvenirs,tom bought lots of souvenirs,['tom bought a lot of souvenirs'],['tom bought lots of souvenirs'],"[['tom', 'bought', 'a', 'lot', 'of', 'souvenirs']]","[['tom', 'bought', 'lots', 'of', 'souvenirs']]"
The same shit.,The same old problem.,Hallucination,the same shit,the same old problem,['the same shit'],['the same old problem'],"[['the', 'same', 'shit']]","[['the', 'same', 'old', 'problem']]"
Tom missed that opportunity.,Tom missed that opportunity.,Not Hallucination,tom missed that opportunity,tom missed that opportunity,['tom missed that opportunity'],['tom missed that opportunity'],"[['tom', 'missed', 'that', 'opportunity']]","[['tom', 'missed', 'that', 'opportunity']]"
How old are they now?,How old are they now?,Not Hallucination,how old are they now,how old are they now,['how old are they now'],['how old are they now'],"[['how', 'old', 'are', 'they', 'now']]","[['how', 'old', 'are', 'they', 'now']]"
Why don't we go further and do it now.,Why don't we go ahead and do that now?,Hallucination,why do not we go further and do it now,why do not we go ahead and do that now,['why do not we go further and do it now'],['why do not we go ahead and do that now'],"[['why', 'do', 'not', 'we', 'go', 'further', 'and', 'do', 'it', 'now']]","[['why', 'do', 'not', 'we', 'go', 'ahead', 'and', 'do', 'that', 'now']]"
Christmas is celebrated on December 25.,Christmas is celebrated on December 25th.,Not Hallucination,christmas is celebrated on december 25,christmas is celebrated on december 25th,['christmas is celebrated on december 25'],['christmas is celebrated on december 25th'],"[['christmas', 'is', 'celebrated', 'on', 'december', '25']]","[['christmas', 'is', 'celebrated', 'on', 'december', '25th']]"
Do you speak Romanian?,Are you speaking Romanian?,Not Hallucination,do you speak romanian,are you speaking romanian,['do you speak romanian'],['are you speaking romanian'],"[['do', 'you', 'speak', 'romanian']]","[['are', 'you', 'speaking', 'romanian']]"
Tom said Mary was stupid.,Tom said that Mary was stupid.,Not Hallucination,tom said mary was stupid,tom said that mary was stupid,['tom said mary was stupid'],['tom said that mary was stupid'],"[['tom', 'said', 'mary', 'was', 'stupid']]","[['tom', 'said', 'that', 'mary', 'was', 'stupid']]"
The accident almost cost him life.,The accident almost cost him his life.,Not Hallucination,the accident almost cost him life,the accident almost cost him his life,['the accident almost cost him life'],['the accident almost cost him his life'],"[['the', 'accident', 'almost', 'cost', 'him', 'life']]","[['the', 'accident', 'almost', 'cost', 'him', 'his', 'life']]"
That's why I wanted to marry her.,It was because I loved her that I wanted to marry her.,Hallucination,that is why i wanted to marry her,it was because i loved her that i wanted to marry her,['that is why i wanted to marry her'],['it was because i loved her that i wanted to marry her'],"[['that', 'is', 'why', 'i', 'wanted', 'to', 'marry', 'her']]","[['it', 'was', 'because', 'i', 'loved', 'her', 'that', 'i', 'wanted', 'to', 'marry', 'her']]"
